actual_price,discounted_price,discount_percentage,count
"₹1,599",899.0,44%,1
"₹1,599",950.0,41%,1
"₹1,599",1110.0,31%,1
"₹1,599",1234.0,23%,1
"₹1,600",649.0,59%,1
"₹1,600",1089.0,32%,1
"₹1,620",948.0,41%,1
"₹1,639",1409.0,14%,1
"₹1,645",1295.0,21%,1
"₹1,650",729.0,56%,1
"₹1,650",1464.0,11%,1
"₹1,690",699.0,59%,1
"₹1,690",1199.0,29%,1
"₹1,695",1199.0,29%,1
"₹1,695",1490.0,12%,1
"₹1,695",1695.0,0%,1
"₹1,699",799.0,53%,1
"₹1,699",873.0,49%,1
"₹1,699",999.0,41%,1
"₹1,699",1049.0,38%,1
"₹1,699",1069.0,37%,1
"₹1,699",1075.0,37%,1
"₹1,699",1149.0,32%,1
"₹1,699",1219.0,28%,1
"₹1,699",1260.0,26%,1
"₹1,700",799.0,53%,1
"₹1,745",1614.0,8%,1
"₹1,749",799.0,54%,1
"₹1,750",1345.0,23%,1
"₹1,775",1499.0,16%,1
"₹1,790",1052.0,41%,1
"₹1,795",1099.0,39%,1
"₹1,795",1199.0,33%,1
"₹1,795",1295.0,28%,1
"₹1,799",474.0,74%,1
"₹1,799",549.0,69%,1
"₹1,799",749.0,58%,1
"₹1,799",1595.0,11%,1
"₹1,800",599.0,67%,1
"₹1,800",899.0,50%,1
"₹1,800",939.0,48%,1
"₹1,800",959.0,47%,1
"₹1,800",1149.0,36%,1
"₹1,809",849.0,53%,1
"₹1,850",1349.0,27%,1
"₹1,890",1399.0,26%,1
"₹1,899",599.0,68%,1
"₹1,899",699.0,63%,1
"₹1,899",1149.0,39%,1
"₹1,899",1199.0,37%,1
"₹1,899",1519.0,20%,1
"₹1,900",299.0,84%,1
"₹1,900",1199.0,37%,1
"₹1,900",1699.0,11%,1
"₹1,920",1099.0,43%,1
"₹1,929",1187.0,38%,1
"₹1,949",398.0,80%,1
"₹1,950",809.0,59%,1
"₹1,950",999.0,49%,1
"₹1,950",1049.0,46%,1
"₹1,950",1199.0,39%,1
"₹1,950",1799.0,8%,1
"₹1,975",1699.0,14%,1
"₹1,989",799.0,60%,1
"₹1,990",899.0,55%,1
"₹1,990",1099.0,45%,1
"₹1,990",1490.0,25%,1
"₹1,995",798.0,60%,1
"₹1,995",999.0,50%,1
"₹1,999",199.0,90%,1
"₹1,999",281.0,86%,1
"₹1,999",339.0,83%,1
"₹1,999",349.0,83%,1
"₹1,999",398.0,80%,1
"₹1,999",479.0,76%,1
"₹1,999",486.0,76%,1
"₹1,999",489.0,76%,1
"₹1,999",499.0,75%,1
"₹1,999",689.0,66%,1
"₹1,999",709.0,65%,1
"₹1,999",759.0,62%,1
"₹1,999",789.0,61%,1
"₹1,999",790.0,60%,1
"₹1,999",889.0,56%,1
"₹1,999",979.0,51%,1
"₹1,999",1099.0,45%,1
"₹1,999",1199.0,40%,1
"₹1,999",1439.0,28%,1
"₹1,999",1499.0,25%,1
"₹1,999",1679.0,16%,1
"₹1,999",1699.0,15%,1
"₹10,295",3859.0,63%,1
"₹10,400",6199.0,40%,1
"₹10,590",6999.0,34%,1
"₹10,900",7349.0,33%,1
"₹10,995",6790.0,38%,1
"₹10,999",6199.0,44%,1
"₹10,999",8499.0,23%,1
₹100,100.0,0%,1
"₹11,000",5699.0,48%,1
"₹11,495",5999.0,48%,1
"₹11,500",5499.0,52%,1
"₹11,500",6800.0,41%,1
"₹11,595",8799.0,24%,1
"₹11,850",8886.0,25%,1
"₹11,990",6850.0,43%,1
"₹11,995",8799.0,27%,1
"₹11,999",2999.0,75%,1
"₹11,999",7998.0,33%,1
"₹11,999",8499.0,29%,1
"₹12,150",9799.0,19%,1
"₹12,499",4999.0,60%,1
"₹12,500",7799.0,38%,1
"₹12,999",6999.0,46%,1
"₹12,999",8499.0,35%,1
"₹12,999",9970.0,23%,1
"₹12,999",9999.0,23%,1
₹120,114.0,5%,1
"₹13,049",8699.0,33%,1
"₹13,150",5499.0,58%,1
"₹13,499",8999.0,33%,1
"₹13,499",10499.0,22%,1
"₹13,499",12999.0,4%,1
"₹13,750",6299.0,54%,1
"₹13,999",6549.0,53%,1
"₹14,290",6990.0,51%,1
"₹14,990",7999.0,47%,1
"₹14,999",6999.0,53%,1
"₹14,999",14999.0,0%,1
"₹15,270",6299.0,59%,1
"₹15,990",4790.0,70%,1
"₹15,990",9490.0,41%,1
"₹15,990",12490.0,22%,1
"₹15,999",7999.0,50%,1
"₹15,999",8499.0,47%,1
"₹15,999",9590.0,40%,1
"₹15,999",12999.0,19%,1
₹150,150.0,0%,1
"₹16,000",8199.0,49%,1
"₹16,490",8499.0,48%,1
"₹16,899",8699.0,49%,1
"₹16,990",6999.0,59%,1
₹160,137.0,14%,1
₹165,130.0,21%,1
₹165,165.0,0%,1
"₹17,999",3999.0,78%,1
₹171,99.0,42%,1
₹175,90.0,49%,1
"₹18,000",9199.0,49%,1
"₹18,990",8990.0,53%,1
"₹18,990",9495.0,50%,1
"₹18,999",8999.0,53%,1
₹180,125.0,31%,1
₹180,149.0,17%,1
₹180,159.0,12%,1
"₹19,110",10099.0,47%,1
"₹19,125",7299.0,62%,1
"₹19,499",10499.0,46%,1
"₹19,825",12499.0,37%,1
"₹19,990",5395.0,73%,1
"₹19,990",10990.0,45%,1
"₹19,990",11499.0,42%,1
"₹19,999",14999.0,25%,1
₹199,57.89,71%,1
₹199,85.0,57%,1
₹199,177.0,11%,1
"₹2,000",899.0,55%,1
"₹2,000",949.0,53%,1
"₹2,000",999.0,50%,1
"₹2,095",1849.0,12%,1
"₹2,095",2095.0,0%,1
"₹2,099",1665.0,21%,1
"₹2,100",999.0,52%,1
"₹2,100",1499.0,29%,1
"₹2,198",1349.0,39%,1
"₹2,199",929.0,58%,1
"₹2,199",1409.0,36%,1
"₹2,199",1499.0,32%,1
"₹2,199",2049.0,7%,1
"₹2,290",1399.0,39%,1
