actual_price,discounted_price,discount_percentage,count
₹600,246.0,59%,1
₹600,249.0,59%,1
₹600,480.0,20%,1
₹600,600.0,0%,1
₹625,499.0,20%,1
₹635,635.0,0%,1
₹640,510.0,20%,1
₹640,600.0,6%,1
₹649,249.0,62%,1
₹649,269.0,59%,1
"₹65,000",29990.0,54%,1
"₹65,000",37999.0,42%,1
₹650,269.0,59%,1
₹650,289.0,56%,1
₹650,299.0,54%,1
"₹1,299",474.0,64%,1
₹670,417.44,38%,1
₹670,649.0,3%,1
"₹69,900",45999.0,34%,1
"₹69,999",46999.0,33%,1
"₹69,999",61999.0,11%,1
"₹1,299",569.0,56%,1
₹699,134.0,81%,1
"₹1,299",699.0,46%,1
₹699,210.0,70%,1
₹699,238.0,66%,1
₹699,239.0,66%,1
₹699,259.0,63%,1
"₹1,299",749.0,42%,1
₹699,269.0,62%,1
₹699,279.0,60%,1
"₹1,299",1299.0,0%,1
"₹1,300",449.0,65%,1
₹699,337.0,52%,1
"₹1,300",649.0,50%,1
"₹1,300",929.0,29%,1
"₹1,339",749.0,44%,1
₹699,448.0,36%,1
₹699,478.0,32%,1
₹699,698.0,0%,1
"₹7,005",5899.0,16%,1
"₹7,200",5490.0,24%,1
"₹7,290",3599.0,51%,1
"₹7,299",3599.0,51%,1
"₹7,350",5599.0,24%,1
"₹7,445",5365.0,28%,1
"₹7,500",2299.0,69%,1
"₹7,506",5890.0,22%,1
"₹7,776",5865.0,25%,1
"₹7,795",3249.0,58%,1
"₹7,950",3599.0,55%,1
"₹7,990",1799.0,77%,1
"₹1,345",699.0,48%,1
"₹1,345",1043.0,22%,1
"₹7,990",2499.0,69%,1
"₹1,350",519.0,62%,1
"₹7,999",1199.0,85%,1
"₹1,39,900",77990.0,44%,1
"₹7,999",1999.0,75%,1
"₹7,999",4499.0,44%,1
"₹7,999",5799.0,28%,1
"₹7,999",5998.0,25%,1
"₹7,999",6499.0,19%,1
"₹7,999",7499.0,6%,1
"₹70,900",47990.0,32%,1
"₹1,390",629.0,55%,1
₹700,299.0,57%,1
₹700,369.0,47%,1
₹700,599.0,14%,1
₹720,539.0,25%,1
₹720,561.0,22%,1
₹723,596.0,18%,1
"₹74,999",37990.0,49%,1
₹747,688.0,8%,1
₹749,319.0,57%,1
₹75,67.0,11%,1
"₹75,990",42990.0,43%,1
"₹1,390",717.0,48%,1
₹758,439.0,42%,1
₹761,717.0,6%,1
₹775,499.0,36%,1
₹785,599.0,24%,1
₹79,79.0,0%,1
"₹79,990",47990.0,40%,1
₹795,399.0,50%,1
₹795,745.0,6%,1
₹798,299.0,63%,1
"₹1,395",979.0,30%,1
₹799,199.0,75%,1
₹799,249.0,69%,1
₹799,254.0,68%,1
"₹1,399",499.0,64%,1
₹799,320.0,60%,1
₹799,326.0,59%,1
₹799,349.0,56%,1
₹799,390.0,51%,1
"₹1,399",649.0,54%,1
₹799,457.0,43%,1
"₹1,400",309.0,78%,1
₹799,599.0,25%,1
"₹8,073",6120.0,24%,1
"₹8,478",6120.0,28%,1
"₹8,499",1999.0,76%,1
"₹8,499",6499.0,24%,1
"₹8,500",6499.0,24%,1
"₹8,820",6525.0,26%,1
"₹8,990",4789.0,47%,1
"₹8,995",6499.0,28%,1
"₹8,995",7799.0,13%,1
"₹8,995",8599.0,4%,1
"₹8,999",1499.0,83%,1
"₹8,999",4899.0,46%,1
"₹1,400",579.0,59%,1
₹800,89.0,89%,1
"₹1,400",625.0,55%,1
₹800,198.0,75%,1
"₹1,440",1180.0,18%,1
₹800,299.0,63%,1
₹800,449.0,44%,1
₹825,610.0,26%,1
₹825,825.0,0%,1
"₹1,445",749.0,48%,1
"₹1,490",455.0,69%,1
"₹85,000",54990.0,35%,1
₹850,699.0,18%,1
₹861,828.0,4%,1
₹875,775.0,11%,1
₹89,89.0,0%,1
₹895,599.0,33%,1
₹899,228.0,75%,1
"₹1,490",599.0,60%,1
"₹1,490",699.0,53%,1
"₹1,490",848.99,43%,1
₹899,351.0,61%,1
₹899,355.0,61%,1
₹899,397.0,56%,1
"₹1,490",999.0,33%,1
₹899,425.0,53%,1
"₹1,499",215.0,86%,1
"₹1,499",269.0,82%,1
₹899,753.0,16%,1
"₹9,455",3599.0,62%,1
"₹9,499",7499.0,21%,1
"₹9,625",8349.0,13%,1
"₹9,650",4999.0,48%,1
"₹9,990",6490.0,35%,1
"₹9,995",7199.0,28%,1
"₹9,995",8999.0,10%,1
"₹9,999",1499.0,85%,1
"₹1,499",279.0,81%,1
"₹1,499",314.0,79%,1
"₹1,499",469.0,69%,1
"₹1,499",499.0,67%,1
"₹1,499",529.0,65%,1
"₹9,999",3999.0,60%,1
"₹9,999",5499.0,45%,1
"₹1,499",549.0,63%,1
"₹9,999",6236.0,38%,1
"₹9,999",7915.0,21%,1
₹900,499.0,45%,1
₹919,379.0,59%,1
₹931,249.0,73%,1
₹940,499.0,47%,1
₹970,765.0,21%,1
₹975,949.0,3%,1
₹980,980.0,0%,1
₹99,89.0,10%,1
"₹1,499",637.0,58%,1
₹990,299.0,70%,1
₹990,599.0,39%,1
₹995,349.0,65%,1
₹995,399.0,60%,1
₹995,549.0,45%,1
₹995,699.0,30%,1
"₹1,499",656.0,56%,1
₹999,115.0,88%,1
"₹1,499",669.0,55%,1
₹999,129.0,87%,1
"₹1,499",678.0,55%,1
"₹1,499",697.0,54%,1
₹999,173.0,83%,1
"₹1,499",721.0,52%,1
₹999,218.0,78%,1
₹999,230.0,77%,1
"₹1,499",799.0,47%,1
₹999,251.0,75%,1
₹999,252.0,75%,1
₹999,259.0,74%,1
₹999,265.0,73%,1
₹999,273.1,73%,1
₹999,289.0,71%,1
₹999,298.0,70%,1
"₹1,499",849.0,43%,1
₹999,325.0,67%,1
"₹1,499",899.0,40%,1
"₹1,099",325.0,70%,1
"₹1,000",479.0,52%,1
"₹1,000",499.0,50%,1
"₹1,000",549.0,45%,1
"₹1,499",999.0,33%,1
"₹1,000",850.0,15%,1
"₹1,010",559.0,45%,1
"₹1,020",640.0,37%,1
"₹1,020",653.0,36%,1
"₹1,052",893.0,15%,1
"₹1,075",999.0,7%,1
"₹1,090",549.0,50%,1
"₹1,090",579.0,47%,1
"₹1,099",199.0,82%,1
"₹1,099",269.0,76%,1
"₹1,499",1149.0,23%,1
₹999,429.0,57%,1
"₹1,499",1199.0,20%,1
₹999,345.0,65%,1
₹999,347.0,65%,1
"₹1,499",1235.0,18%,1
₹999,351.0,65%,1
₹999,365.0,63%,1
₹999,375.0,62%,1
₹999,378.0,62%,1
"₹1,499",1289.0,14%,1
₹999,389.0,61%,1
"₹1,499",1499.0,0%,1
₹999,419.0,58%,1
₹999,425.0,57%,1
₹999,426.0,57%,1
"₹1,000",129.0,87%,1
